observation,tempC_7to8,tempC_1to2,tempC_6to7,humidity_7to8,humidity_1to2,humidity_6to7,windspeedKmph_7to8,windspeedKmph_1to2,windspeedKmph_6to7,pressureMB_7to8,pressureMB_1to2,pressureMB_6to7,precipMM_7to8,precipMM_1to2,precipMM_6to7,weatherDesc_7to8,weatherDesc_1to2,weatherDesc_6to7
2018-05-22,31,37,30,31,24,39,17,24,18,1007,1006,1006,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-23,31,38,32,36,20,40,17,22,18,1007,1004,1004,0.0,0.0,0.0,Partly cloudy,Sunny,Clear
2018-05-24,31,37,30,43,28,53,21,24,18,1007,1004,1005,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-25,28,37,31,55,19,31,20,23,17,1007,1004,1005,0.0,0.0,0.0,Partly cloudy,Sunny,Clear
2018-05-26,31,39,35,55,22,25,16,18,15,1006,1002,1003,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-27,33,39,33,37,25,35,12,17,19,1005,1002,1002,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-28,32,39,30,52,25,56,16,20,22,1004,1000,1001,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-29,29,34,29,63,42,63,26,25,23,1004,1002,1003,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-30,29,35,29,62,39,66,23,25,24,1004,1003,1003,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-31,30,37,29,59,32,63,16,22,24,1005,1003,1004,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-06-01,30,37,29,57,32,63,12,19,21,1007,1004,1005,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-06-02,30,36,29,58,36,65,13,14,23,1007,1005,1006,0.0,0.0,2.3,Sunny,Sunny,Moderate or heavy rain shower
2018-06-03,27,30,28,73,65,70,15,20,15,1007,1004,1004,0.0,0.0,0.0,Thundery outbreaks possible,Cloudy,Partly cloudy
2018-06-04,29,36,30,61,38,58,16,17,21,1005,1002,1002,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-06-05,30,35,31,53,37,55,12,17,19,1005,1003,1003,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-06-06,30,35,30,53,38,51,21,24,21,1007,1005,1005,0.0,0.0,0.0,Sunny,Sunny,Partly cloudy
2018-06-07,30,32,27,56,50,73,22,28,25,1005,1003,1002,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-06-08,29,33,28,66,49,69,18,21,27,1003,1000,1000,0.0,0.0,0.0,Partly cloudy,Partly cloudy,Clear
2018-06-09,28,32,27,68,52,75,29,31,30,1001,1000,1000,0.0,0.0,0.1,Light rain shower,Partly cloudy,Light rain shower
2018-06-10,27,31,27,74,59,77,25,31,31,1002,1001,1002,0.1,0.1,0.1,Light rain shower,Light rain shower,Light rain shower
2018-06-11,28,31,27,71,59,76,28,36,36,1003,1001,1001,0.1,0.1,0.0,Light rain shower,Patchy rain possible,Partly cloudy
2018-06-12,28,32,27,68,54,74,32,37,34,1003,1001,1002,0.0,0.0,0.0,Partly cloudy,Partly cloudy,Partly cloudy
2018-06-13,28,32,27,68,55,74,31,34,30,1003,1002,1004,0.0,0.0,0.0,Partly cloudy,Sunny,Partly cloudy
2018-06-14,29,32,27,63,52,70,28,32,24,1005,1004,1005,0.0,0.0,0.0,Partly cloudy,Partly cloudy,Clear
2018-06-15,28,32,27,67,49,69,24,30,27,1006,1005,1006,0.0,0.0,0.0,Sunny,Partly cloudy,Clear
2018-06-16,27,30,26,66,51,70,24,29,26,1007,1006,1007,0.0,0.0,0.0,Sunny,Partly cloudy,Clear
2018-06-17,26,29,26,70,63,73,24,25,23,1007,1005,1005,0.0,0.6,0.2,Partly cloudy,Moderate or heavy rain shower,Light rain shower
2018-06-18,28,31,27,61,55,74,14,19,24,1005,1003,1004,0.0,0.0,0.0,Sunny,Partly cloudy,Clear
2018-06-19,28,32,28,70,53,74,15,20,21,1005,1003,1003,0.0,0.0,0.0,Partly cloudy,Patchy light rain with thunder,Clear
2018-06-21,28,31,27,68,57,78,10,19,22,1005,1003,1004,0.5,1.0,3.2,Light rain shower,Moderate or heavy rain shower,Moderate or heavy rain shower
2018-06-22,26,29,26,78,64,81,18,23,21,1005,1003,1003,0.1,1.0,3.3,Light rain shower,Moderate or heavy rain shower,Torrential rain shower
